nama,telepon,alamat,petugas,latitude,longitude,catatan
NAMA_PELANGGAN_1,TELEPON_1,ALAMAT_LENGKAP_1,wicaksonopurwanto@gmail.com,LATITUDE_1,LONGITUDE_1,CATATAN_1
NAMA_PELANGGAN_2,TELEPON_2,ALAMAT_LENGKAP_2,wicaksonopurwanto@gmail.com,LATITUDE_2,LONGITUDE_2,CATATAN_2
NAMA_PELANGGAN_3,TELEPON_3,ALAMAT_LENGKAP_3,anggaskharisma@gmail.com,LATITUDE_3,LONGITUDE_3,CATATAN_3
NAMA_PELANGGAN_4,TELEPON_4,ALAMAT_LENGKAP_4,anggaskharisma@gmail.com,LATITUDE_4,LONGITUDE_4,CATATAN_4
NAMA_PELANGGAN_5,TELEPON_5,ALAMAT_LENGKAP_5,mazis977@gmail.com,LATITUDE_5,LONGITUDE_5,CATATAN_5
NAMA_PELANGGAN_6,TELEPON_6,ALAMAT_LENGKAP_6,mazis977@gmail.com,LATITUDE_6,LONGITUDE_6,CATATAN_6
NAMA_PELANGGAN_7,TELEPON_7,ALAMAT_LENGKAP_7,achmadverry20@gmail.com,LATITUDE_7,LONGITUDE_7,CATATAN_7
NAMA_PELANGGAN_8,TELEPON_8,ALAMAT_LENGKAP_8,achmadverry20@gmail.com,LATITUDE_8,LONGITUDE_8,CATATAN_8
NAMA_PELANGGAN_9,TELEPON_9,ALAMAT_LENGKAP_9,dwikydiaspriambodo@gmail.com,LATITUDE_9,LONGITUDE_9,CATATAN_9
NAMA_PELANGGAN_10,TELEPON_10,ALAMAT_LENGKAP_10,dwikydiaspriambodo@gmail.com,LATITUDE_10,LONGITUDE_10,CATATAN_10
